Question,Answer
"what is llm","LLM (Large Language Model) is a type of AI trained on vast amounts of text data to understand and generate human-like text."
"what is gpt","GPT (Generative Pre-trained Transformer) is a family of LLMs developed by OpenAI."
"what is prompt engineering","Prompt engineering is the process of structuring text that can be interpreted and understood by a generative AI model."
"what is data labeling","Data labeling is the process of identifying raw data and adding meaningful labels to provide context for ML models."
"what is feature engineering","Feature engineering is the process of using domain knowledge to extract features from raw data that make ML algorithms work."
"what is a decision tree","A decision tree is a flowchart-like structure used for classification and regression tasks."
"what is ensemble learning","Ensemble learning is the process by which multiple models are strategically combined to solve a particular computational intelligence problem."
"what is bagging","Bagging is an ensemble technique that aims to improve the stability and accuracy of ML algorithms."
"what is boosting","Boosting is an ensemble technique that attempts to create a strong classifier from a number of weak classifiers."
"what is xgboost","XGBoost is an optimized distributed gradient boosting library designed to be highly efficient, flexible, and portable."
"what is pytorch","PyTorch is an open-source machine learning library based on the Torch library, used for applications such as computer vision and NLP."
"what is tensorflow","TensorFlow is an open-source library developed by Google for numerical computation and large-scale machine learning."
"what is keras","Keras is an open-source software library that provides a Python interface for artificial neural networks."
"what is a neuron","A neuron is the basic unit of a neural network that receives input, processes it, and produces an output."
"what is an input layer","The input layer is the first layer of a neural network that receives the input data."
"what is a hidden layer","A hidden layer is a layer between the input and output layers where artificial neurons take in a set of weighted inputs and produce an output through an activation function."
"what is an output layer","The output layer is the final layer in a neural network that produces the prediction."
"what is weights","Weights are parameters within a neural network that transform input data within the network's hidden layers."
"what is bias in neuron","Bias is an additional parameter in a neural network which is used to adjust the output along with the weighted sum of inputs."
"what is hyperparameter","A hyperparameter is a parameter whose value is set before the learning process begins (e.g., learning rate)."
"what is learning rate","The learning rate is a hyperparameter that controls how much to change the model in response to the estimated error each time the model weights are updated."
"what is dropout","Dropout is a regularization technique where randomly selected neurons are ignored during training."
"what is l1 regularization","L1 regularization adds the absolute value of magnitude of coefficient as penalty term to the loss function."
"what is l2 regularization","L2 regularization adds the squared magnitude of coefficient as penalty term to the loss function."
"what is data augmentation","Data augmentation is a technique used to increase the amount of data by adding slightly modified copies of already existing data."
"what is fine-tuning","Fine-tuning is a process where the weights of a pre-trained model are adjusted on new data."
"what is an image embedding","An image embedding is a vector representation of an image."
"what is word embedding","Word embedding is a learned representation for text where words that have the same meaning have a similar representation."
"what is word2vec","Word2Vec is a group of related models used to produce word embeddings."
"what is bert","BERT (Bidirectional Encoder Representations from Transformers) is a transformer-based ML technique for NLP pre-training developed by Google."
"what is attention mechanism","The attention mechanism is a technique that mimics cognitive attention, enhancing the important parts of the input data."
"what is a transformer model","A transformer is a deep learning model that adopts the mechanism of self-attention, differentially weighting the significance of each part of the input data."
"what is an encoder","An encoder is a component that converts input data into a hidden representation."
"what is a decoder","A decoder is a component that converts the hidden representation back into the desired output format."
"what is sentiment analysis","Sentiment analysis is the use of NLP to systematically identify, extract, and quantify affective states and subjective information."
"what is named entity recognition","NER is a subtask of information extraction that seeks to locate and classify named entities in text."
"what is stop words","Stop words are commonly used words (like 'the', 'is', 'at') which are often filtered out during NLP preprocessing."
"what is stemming","Stemming is the process of reducing inflected words to their word stem or root form."
"what is lemmatization","Lemmatization is the process of grouping together the inflected forms of a word so they can be analyzed as a single item."
"what is tokenization","Tokenization is the process of breaking down text into smaller units called tokens."
"what is a recommender system","A recommender system is a subclass of information filtering system that seeks to predict the 'rating' or 'preference' a user would give to an item."
"what is collaborative filtering","Collaborative filtering is a method of making automatic predictions about the interests of a user by collecting preferences from many users."
"what is content-based filtering","Content-based filtering uses item features to recommend other items similar to what the user likes."
"what is cloud computing for ai","Cloud computing provides the high-performance computing resources (GPU/TPU) needed for training large AI models."
"what is edge ai","Edge AI is the deployment of AI models on local devices (like smartphones or IoT) rather than the cloud."
"what is mlops","MLOps is a set of practices that aims to deploy and maintain ML models in production reliably and efficiently."
